prefix_length,Recall@10,Recall@20,Recall@50,Recall@100
2,0.2723244717109748,0.3674164962508521,0.4897750511247444,0.5727675528289026
3,0.31941604180867983,0.42814133151556466,0.5624289934105885,0.6459327425585094
4,0.34488373854427024,0.4602931152010907,0.60056426569719,0.6853556009997728
5,0.3604010452169961,0.4800187457396046,0.6241479209270621,0.7089155873665076
6,0.37013178822994774,0.49392183594637584,0.6412065439672802,0.7257668711656442
7,0.3771207301370901,0.5040142391880633,0.652900855866091,0.7380519578883588
8,0.3816989645210504,0.5107930015905476,0.6618869088194241,0.7473626123932873
9,0.38474210406725745,0.5153516246307658,0.6680299931833674,0.7541325835037491
10,0.3866482365119039,0.5186068822742306,0.6726438435709056,0.7596695195536368
11,0.38726425812315385,0.5205237446034991,0.6761531470120428,0.7636105430583958
12,0.3871589101650451,0.5212606638987007,0.6780122286257255,0.7664580363966867
13,0.38650780125729,0.5211978338256457,0.6792537680830114,0.768305498750284
14,0.38509167496897556,0.5201134357576075,0.679198783493262,0.7692526174121266
15,0.3831799591002045,0.5182385496802675,0.6783076898107573,0.7693219073587172
16,0.3809020677118837,0.5158070135575248,0.6770014390668787,0.7691282284329319
17,0.37796097477845947,0.5126924278573052,0.6749886389456942,0.7681599352419904
18,0.3747878156034056,0.50920245398773,0.6722269003034069,0.7665470414477993
19,0.37099522835719156,0.5050935393471181,0.6688568254689591,0.7644064480294882
20,0.36695607457635226,0.5006308374890874,0.6648548774799986,0.7614567263420993
21,0.362605089752329,0.4957282435810043,0.6601880254487617,0.7579527380140877
22,0.3576216444314604,0.48986161153850316,0.6548457601627335,0.7536166022873589
23,0.35224432463696265,0.4834438454070356,0.6486826341120819,0.7483733035880276
24,0.3464454718789208,0.4764480404651117,0.641541448089861,0.7422003892395997
25,0.3402493751420132,0.4687784026357646,0.6334355828220859,0.735043645383625
26,0.3333992274483072,0.4601772324471711,0.623896841626903,0.7260736196319019
